Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
39000,328600,128600,24900,40500,36900,14100,16200,102993600,99100,46800,10500,82880700,211200,90976300,39600,104304800,161400,112442400,8300,95446000,45854800
39250,365400,127100,25800,85800,35000,15700,16000,102066100,91400,48500,10600,93930600,178500,89333200,18600,103416300,114600,113588600,10100,95220500,45564800
39500,326800,125300,26500,120600,34200,16400,18200,102196100,96200,45000,9000,88670300,40800,98079100,21000,96104200,273500,114434300,12400,95336100,47154600
39750,265200,128800,27400,102100,38300,14900,16900,107184900,94800,48100,9600,92016700,41200,102319700,19800,95814400,274300,114912900,22800,97508300,47875900
40000,416800,135100,25900,90000,35200,16700,19900,112198000,93100,48700,10800,83527900,40600,97635800,20800,98005500,289600,114835400,10100,97486800,47649200
40250,343300,154100,19500,40600,37000,17300,19900,111585900,96300,46600,10500,90004200,41900,105011700,18900,115311000,469500,116733300,13300,99102500,47299300
40500,291100,126600,18100,44500,51300,16200,16600,108997300,91200,51400,12400,87853300,56300,90781500,19000,101000300,88500,118584700,10500,98092000,48255500
40750,193500,133800,19500,137800,56400,14400,17100,132627000,97300,49300,11200,93745200,112300,93424000,17600,100145600,73600,121813900,10600,99405600,47288600
41000,252100,136500,22100,77200,38200,15800,16400,144367700,95200,48000,11100,93428500,121700,99202200,20100,101708000,64900,119921700,10600,99440000,48009000
41250,184600,137900,19700,39700,38300,14900,18800,151432900,94600,49300,9200,116243700,65500,94448700,18100,103101800,57600,119970700,9400,99824200,49116300
41500,178000,140100,19400,35000,37600,13700,23200,117681200,96600,50500,11300,97146200,41600,97206300,19100,105442500,60100,121671800,23100,101501800,48904300
41750,172300,140000,19600,34100,37500,17400,18300,119409400,96300,48100,10700,124395200,42600,97405100,17800,106706700,60400,120570000,10400,101797300,50324700
42000,171900,144900,20200,63400,36800,16400,20200,124254000,94300,49900,11000,99277000,39600,97886100,20700,104442100,60600,120843700,8800,102751200,49736800
42250,191900,148900,18900,50200,35500,17600,16000,126005500,5300500,48500,11400,99622900,38500,99391000,19700,107826300,45600,129342500,12000,104504400,50840600
42500,238500,146300,19700,54500,36400,15800,15400,122922200,65600,48000,12200,101921100,55100,110491100,16800,108124900,46900,123113700,11100,103953300,49838000
42750,269100,151000,19000,58300,36000,18800,13200,126399400,65000,60700,11300,104437900,40300,102863100,18200,107988900,36900,122335900,9100,106157400,50637400
43000,262500,151200,20200,46800,36600,15400,14700,128510700,64300,48100,11100,107559000,40600,121246100,18900,112916600,43400,124890500,8900,106847700,50597700
43250,166200,151600,19800,32500,36900,15500,18800,125378400,62100,51200,10900,107495400,38500,104482600,16600,111128400,85300,125132700,11900,106319400,51357400
43500,164100,158200,18900,32800,36500,15500,17700,128880400,60900,47200,11400,107858200,41900,102933900,19200,120371000,40100,126551800,11100,107341200,51814200
43750,179400,175000,19700,32400,35900,14200,15000,131572200,62800,49500,11400,110205900,37800,115778900,17600,130719700,133600,128168500,10400,108104600,51341600
44000,165300,283100,18600,31900,35200,15500,16200,135399900,60000,50400,9200,119046200,40900,112201100,18800,136009900,375200,131895700,9300,112949000,60639500
44250,159100,177900,19700,30800,33400,16500,14700,145230100,63100,50000,11900,112983400,40500,119065400,19000,124227600,121700,129642300,11400,109059400,56865300
44500,335600,181700,18200,32700,35800,18600,17800,136473400,63700,47600,11900,111445600,40000,103210300,17200,118724000,50500,128830600,10500,109459200,53356100
44750,313000,174100,20100,35700,38100,21000,16500,141579200,64200,48700,11900,125685800,43000,117493500,18600,114919700,39100,128223500,10800,112469100,53303000
45000,213800,178300,18500,34000,34300,20200,17600,140072800,66000,49000,10800,113878200,42700,110796700,19700,140392400,38600,130538900,8000,112506600,54031000
